,price,price_per_m,postal_code,location,type,area,room
725,760 000,7 508 ,06300, Nice (Mont-Boron),Appartement,101,3
726,61 000,61 0,63200, Riom (Centre-ville),Appartement,38,1
727,83 000,83 0,63200, Riom (Centre-ville),Appartement,62,3
728,420 000,2 366 ,78711, Mantes-la-Ville (Merisiers - Plaisances - Belles Lances),Maison,178,8
729,1 190 000,8 095 ,06210, Mandelieu-la-Napoule (Les Termes),Appartement,140,5
730,57 500,1 678 ,42000, Saint-Étienne (Tardy - Colline des Pères - Bizillon),Appartement,34,1
731,89 000,1 281 ,42000, Saint-Étienne (Tardy - Colline des Pères - Bizillon),Appartement,70,3
732,48 000,48 0,63200, Riom (Centre-ville),Appartement,24,1
733,6 500 000,"30,8k ",06230, Villefranche-sur-Mer,Maison,211,5
734,295 000,2 565 ,68200, Mulhouse (Bourtzwiller),Maison,115,5
735,66 000,647 ,71110, Chambilly,Maison,102,5
736,145 000,1 603 ,42120, Le Coteau,Appartement,90,4
737,545 000,3 406 ,42370, Renaison,Maison,160,6
738,170 000,170 0,30900, Nîmes (Vacquerolles - Golf),Appartement,55,2
739,227 500,1 750 ,49125, Tiercé,Maison,130,6
740,589 375,4 792 ,78180, Montigny-le-Bretonneux (Le Manet),Maison,120,6
741,659 000,6 292 ,69008, LYON (Bachut - Transvaal),INTERFACE,105,5
742,245 000,4 900 ,69100, VILLEURBANNE (Léon Blum - Bon Coin),N.,50,2
743,570 000,8 143 ,92130, Issy-les-Moulineaux (Les Iles - La Ferme),Appartement,70,3
744,159 900,2 710 ,29200, Brest (Kerbernard - Pen-ar-Creac'h),Appartement,59,3
745,470 000,5 281 ,20000, Ajaccio (Les Sanguinaires),Duplex,89,4
746,179 000,4 595 ,94320, Thiais (Pavé de Grignon),Appartement,37,2
747,740 000,"10,6k ",06300, Nice (Mont-Boron),Appartement,70,3
748,580 000,6 744 ,13008, Marseille 8e (Le Rouet),Maison,86,4
749,367 500,4 773 ,78450, Villepreux,Maison,77,4
750,634 000,6 469 ,93100, Montreuil (Bas Montreuil - Etienne Marcel - Chanzy),Appartement,98,4
751,143 000,1 144 ,47230, Lavardac,Maison,125,5
752,620 000,2 348 ,69420, Condrieu,Maison,264,7
753,77 000,1 041 ,66000, Perpignan (Les Remparts),Appartement,74,4
754,230 000,7 188 ,69006, Lyon 6e (Les Brotteaux),Appartement,32,1
755,595 000,9 154 ,92100, Boulogne-Billancourt (Silly - Gallieni),Appartement,65,3
756,317 500,1 814 ,67600, Muttersholtz,Maison,175,7
757,562 680,9 643 ,75014, Paris 14e (Pernety),Appartement,56,3
758,52 000,1 268 ,58640, Varennes-Vauzelles,Appartement,41,2
759,127 000,2 775 ,69100, Villeurbanne (Ferrandière - Maisons Neuves),Appartement,46,2
760,239 000,2 439 ,01660, Mézériat,Maison,98,4
761,237 000,1 823 ,30900, Nîmes (Montaury),Maison,130,5
762,268 000,"10,7k ",92200, Neuilly-sur-Seine (Parc de Neuilly),Appartement,23,1
763,165 700,1 342 ,72160, Thorigné-sur-Dué,Maison,123,6
764,265 000,2 409 ,76150, Saint-Jean-du-Cardonnay,Maison,110,4
765,299 000,5 642 ,34280, La Grande-Motte (Centre-ville - Port),Appartement,53,2
766,261 000,3 263 ,91360, Épinay-sur-Orge,Appartement,80,4
767,270 000,3 857 ,94500, Champigny-sur-Marne (Le Plateau),Appartement,70,3
768,289 000,4 446 ,77600, Bussy-Saint-Georges (Violennes - Village),Appartement,65,3
769,295 000,4 214 ,77600, Bussy-Saint-Georges (Violennes - Village),Appartement,70,3
